Id,mean_exam_points
10000,50.45365258231206
10001,67.5154324997564
10002,61.42535121063572
10003,84.13985545627887
10004,86.89572230555818
10005,57.1000592206101
10006,60.34008504481749
10007,52.68840725998981
10008,61.40253587211901
10009,74.81542769105816
10010,53.79801361163318
10011,57.12450502458508
10012,65.5219504556639
10013,73.98553541502474
10014,65.53838626735993
10015,58.21625018988429
10016,79.52907447688368
10017,54.90101277550566
10018,59.2602821341854
10019,50.45942201501149
10020,72.21108096663689
10021,62.4479962752171
10022,65.553106766064
10023,56.00490328778378
10024,57.09157866134497
10025,69.44005325443725
10026,52.71616156167332
10027,52.68840725998981
10028,59.28437472157834
10029,58.17988336862062
10030,71.30003832186455
10031,57.097232413819775
10032,61.428085492104834
10033,53.79801361163318
10034,62.47598217877329
10035,73.09138043197015
10036,59.26306810400316
10037,78.03296285165388
10038,52.71328510933382
10039,82.27462448013523
10040,82.91370554308439
10041,56.027517775371614
10042,61.3998009175877
10043,58.21539296334978
10044,54.91715147093543
10045,63.48383867205578
10046,63.514994561982164
10047,61.428085492104834
10048,59.30193707498725
10049,73.98553541502474
10050,60.3667271393421
10051,87.87297420619088
10052,53.79514528828597
10053,60.34645135736623
10054,59.25749610482413
10055,34.31112008651137
10056,73.95453090650096
10057,52.68553063464444
10058,62.479513613548896
10059,82.8990624004356
10060,65.53838626735993
10061,59.2686398649415
10062,56.00490328778378
10063,50.456537300181544
10064,62.453408408170766
10065,52.68840725998981
10066,61.39076033625952
10067,73.98775641732594
10068,53.82281935654865
10069,41.640230681801036
10070,61.42892047798971
10071,59.2927309049275
10072,51.56749251172047
10073,48.21996509909414
10074,65.56352925542727
10075,56.02096339661243
10076,73.9589762187372
10077,58.20977871395765
10078,56.03036078715348
10079,72.20876524716502
10080,59.2927309049275
10081,44.9273066354821
10082,84.12807350139077
10083,74.80824002621486
10084,59.27227637451534
10085,48.25641027021394
10086,79.50906157052489
10087,73.95965493457815
10088,61.39896569744453
10089,82.89792601315781
10090,48.22572772364481
10091,63.48116348366957
10092,59.2686398649415
10093,64.5502944963042
10094,66.54739297040479
10095,57.09809567455507
10096,84.73163874793048
10097,64.5502944963042
10098,74.83640097462954
10099,54.90101277550566
10100,74.83640097462954
10101,58.17988336862062
10102,53.82568743652259
10103,65.55831819787133
10104,59.27227637451534
10105,69.43365951411546
10106,53.78940856623851
10107,48.22860905362808
10108,59.27227637451534
10109,62.44446365709489
10110,57.097232413819775
10111,60.334561760859884
10112,65.56352925542727
10113,53.82568743652259
10114,48.23237030755686
10115,71.30312075788382
10116,62.44446365709489
10117,76.44940799270987
10118,62.47598217877329
10119,49.37007762601734
10120,64.52481200473677
10121,68.4820422694176
10122,84.7142402637187
10123,58.18549874922324
10124,60.34645135736623
10125,73.98263597366062
10126,64.51343851367865
10127,57.12450502458508
10128,53.78940856623851
10129,53.79227693981482
10130,73.09365001108638
10131,59.29551617992483
10132,60.3667271393421
10133,74.82921728171009
10134,77.2465008992675
10135,81.60022817390123
10136,69.44823951728085
10137,53.79801361163318
10138,74.83640097462954
10139,65.53838626735993
10140,59.2927309049275
10141,65.53056683398388
10142,75.65306461935195
10143,40.56208886626042
10144,61.39896569744453
10145,54.90386999763571
10146,58.219057218495074
10147,55.99637307383668
10148,67.50453494817214
10149,57.12450502458508
10150,78.78805967387508
10151,64.5502944963042
10152,84.71274588675702
10153,63.490005685907704
10154,60.34368990028886
10155,64.5502944963042
10156,57.097232413819775
10157,59.28716017573763
10158,59.28994557019289
10159,60.355682853186956
10160,62.44446365709489
10161,73.09138043197015
10162,64.50815457257796
10163,52.68840725998981
10164,65.53317340522399
